State 616: {0: 0.551074555065315, 1: 0.03771325742195996, 2: 0.01093134008537816, 3: 1.070831429691771}
State 516: {0: 0.49096980464431017, 1: 1.1421154168378815, 2: 0.039103340266155265, 3: 0.08185027731082002}
State 517: {0: 0.5399869152905974, 1: 0.5040287195441575, 2: 0.07899621309990176, 3: 1.0060029116065503}
State 417: {0: 0.06832966970363959, 1: 0.5690210315354888, 2: 0.06153293117754954, 3: 0.9582998869244714}
State 617: {0: 0.05276418895651781, 1: 0.007487563759228034, 2: 0.6762569077461766, 3: 0.5362512393498484}
State 317: {0: 0.03226727134088072, 1: 0.5540918318591384, 2: 1.9611782495046504, 3: 0.4849689476426103}
State 316: {0: 0.6122600233365092, 1: 0.5483622525634657, 2: 0.8969254999600101, 3: 2.3814563317434194}
State 216: {0: 1.3396008684191303, 1: 0.6277038920253274, 2: 2.401645940952905, 3: 0.02445766603470543}
State 217: {0: 0.08393366218465502, 1: 1.4313037615671753, 2: 0.5130751493978516, 3: 0.08649965663251749}
State 416: {0: 0.050776366465760725, 1: 0.6145559787270438, 2: 0.6361479840212239, 3: 0.039176229910891924}
State 116: {0: 0.4693459653769182, 1: 0.5697234224156766, 2: 0.038438957892935235, 3: 0.05162263594653408}
State 117: {0: 0.888295469141528, 1: 0.002001376042311931, 2: 0.520217059632976, 3: 0.4490507583044622}
